iri,equivalent_class
TBD:0000683,DOID:0060153
TBD:0000684,DOID:0060154
TBD:0000685,DOID:0060155
TBD:0000686,DOID:0060156
TBD:0000687,DOID:0060157
TBD:0000688,DOID:0060159
TBD:0000689,DOID:0060160
TBD:0000690,DOID:0060163
TBD:0000691,DOID:0060164
TBD:0000692,DOID:0060165
TBD:0000693,DOID:0060166
TBD:0000694,DOID:0060167
TBD:0000695,DOID:0060168
TBD:0000696,DOID:0060172
TBD:0000697,DOID:0060175
TBD:0000698,DOID:0060176
TBD:0000699,DOID:0060177
TBD:0000700,DOID:0060178
TBD:0000701,DOID:0060181
TBD:0000702,DOID:0060182
TBD:0000703,DOID:0060183
TBD:0000704,DOID:0060184
TBD:0000705,DOID:0060185
TBD:0000706,DOID:0060186
TBD:0000707,DOID:0060187
TBD:0000708,DOID:0060188
TBD:0000709,DOID:0060189
TBD:0000710,DOID:0060191
TBD:0000711,DOID:0060204
TBD:0000712,DOID:0060213
TBD:0000713,DOID:0060215
TBD:0000714,DOID:0060218
TBD:0000715,DOID:0060219
TBD:0000716,DOID:0060223
TBD:0000717,DOID:0060226
TBD:0000718,DOID:0060227
TBD:0000719,DOID:0060229
TBD:0000720,DOID:0060230
TBD:0000721,DOID:0060236
TBD:0000722,DOID:0060242
TBD:0000723,DOID:0060243
TBD:0000724,DOID:0060244
TBD:0000725,DOID:0060248
TBD:0000726,DOID:0060250
TBD:0000727,DOID:0060253
TBD:0000728,DOID:0060260
TBD:0000729,DOID:0060261
TBD:0000730,DOID:0060264
TBD:0000731,DOID:0060283
TBD:0000732,DOID:0060286
TBD:0000733,DOID:0060287
TBD:0000734,DOID:0060289
TBD:0000735,DOID:0060291
TBD:0000736,DOID:0060304
TBD:0000737,DOID:0060305
TBD:0000738,DOID:0060309
TBD:0000739,DOID:0060310
TBD:0000740,DOID:0060311
TBD:0000741,DOID:0060312
TBD:0000742,DOID:0060314
TBD:0000743,DOID:0060315
TBD:0000744,DOID:0060317
TBD:0000745,DOID:0060319
TBD:0000746,DOID:0060320
TBD:0000747,DOID:0060321
TBD:0000748,DOID:0060322
TBD:0000749,DOID:0060323
TBD:0000750,DOID:0060324
TBD:0000751,DOID:0060325
TBD:0000752,DOID:0060326
TBD:0000753,DOID:0060327
TBD:0000754,DOID:0060328
TBD:0000755,DOID:0060329
TBD:0000756,DOID:0060338
TBD:0000757,DOID:0060343
TBD:0000758,DOID:0060345
TBD:0000759,DOID:0060347
TBD:0000760,DOID:0060379
TBD:0000761,DOID:0060388
TBD:0000762,DOID:0060429
TBD:0000763,DOID:0060440
TBD:0000764,DOID:0060441
TBD:0000765,DOID:0060442
TBD:0000766,DOID:0060443
TBD:0000767,DOID:0060463
TBD:0000768,DOID:0060478
TBD:0000769,DOID:0060492
TBD:0000770,DOID:0060495
TBD:0000771,DOID:0060496
TBD:0000772,DOID:0060497
TBD:0000773,DOID:0060498
