mondo_id	subset	subset_source	impact
MONDO:0012034	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	671
MONDO:0011834	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	368
MONDO:0007055	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	648
MONDO:0006715	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	979
MONDO:0007154	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	243
MONDO:0016660	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2334
MONDO:0015612	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1214
MONDO:0012912	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	343
MONDO:0010006	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	886
MONDO:0018352	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	322
MONDO:0004669	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	300
MONDO:0004095	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	719
MONDO:0002598	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	235
MONDO:0008999	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4567
MONDO:0024621	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	106
MONDO:0000023	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	9
MONDO:0020124	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4
MONDO:0017623	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2627
MONDO:0014382	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	389
MONDO:0002234	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	83
MONDO:0015129	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	867
MONDO:0003079	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	531
MONDO:0008222	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	797
MONDO:0010269	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	718
MONDO:0019354	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	741
MONDO:0009567	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	524
MONDO:0037939	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	339
MONDO:0009738	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	112
MONDO:0016690	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	432
MONDO:0002548	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	18
MONDO:0008780	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	301
MONDO:0016070	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	522
MONDO:0010200	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	6671
MONDO:0011146	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	875
MONDO:0014731	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	74
MONDO:0020575	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	81
MONDO:0004379	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	880
MONDO:0018319	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1292
MONDO:0009662	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	654
MONDO:0018328	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1230
MONDO:0002244	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	228
MONDO:0008730	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	603
MONDO:0004380	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	38
MONDO:0008492	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	587
MONDO:0000263	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	7
MONDO:0009720	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	38
MONDO:0012726	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	548
MONDO:0016485	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	162
MONDO:0013171	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	735
MONDO:0021116	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	22
MONDO:0800084	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	25
