source	source_version	source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translator	translation_precision	translation_status	translator_expertise
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010785	rdfs:label	incontinentia pigmenti, horse	色素失調症, ウマ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010791	rdfs:label	tricho-dento-osseous-like syndrome, cattle	毛髪・歯・骨様症候群, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010796	rdfs:label	Darier disease, dog	ダリエー病, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010809	rdfs:label	polydactyly, chicken	多指症, ニワトリ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010827	rdfs:label	syndactyly, cattle	合指症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010829	rdfs:label	tibial hemimelia, cattle	脛骨欠損症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010831	rdfs:label	tetradysmelia, cattle	四肢異常, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010832	rdfs:label	Wilson disease, dog	ウィルソン病, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010833	rdfs:label	Wilson disease, domestic cat	ウィルソン病, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010849	rdfs:label	glycogen storage disease II, Japanese quail	糖原病II, ウズラ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010854	rdfs:label	Krabbe disease, Rhesus monkey	クラッベ病, アカゲザル	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010855	rdfs:label	Krabbe disease, dog	クラッベ病, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010863	rdfs:label	alpha-mannosidosis, domestic guinea pig	α-マンノシドーシス, モルモット	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010864	rdfs:label	alpha-mannosidosis, domestic cat	α-マンノシドーシス, イエネコ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010865	rdfs:label	alpha-mannosidosis, cattle	α-マンノシドーシス, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010905	rdfs:label	deficiency of uridine monophosphate synthase, cattle	ウリジン一リン酸合成酵素欠損症, ウシ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010909	rdfs:label	muscular dystrophy, chicken	筋ジストロフィー, ニワトリ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
http://purl.obolibrary.org/obo/mondo.owl	http://purl.obolibrary.org/obo/mondo/releases/2026-04-07/mondo.owl	en	ja	MONDO:1010923	rdfs:label	muscular dystrophy, Duchenne type, dog	筋ジストロフィー, デュシェンヌ型, イヌ	https://dbcls.rois.ac.jp/index-en.html	EXACT	OFFICIAL	PROFESSIONAL_TRANSLATOR
