icd	icd_label	depth	n_children	bucket	ambiguous_conjunction	n_existing_xrefs	existing_predicates	existing_mondo	match_tier	match_mondo	match_mondo_label	match_via	match_icd_form	n_match_cands	hp_hit
ICD10CM:Q40.8	Other specified congenital malformations of upper alimentary tract	4	0	RESIDUAL		0			-					0	
ICD10CM:Q40.9	Congenital malformation of upper alimentary tract, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q41	Congenital absence, atresia and stenosis of small intestine	3	5	CONTAINER		0			-					0	
ICD10CM:Q41.0	Congenital absence, atresia and stenosis of duodenum	4	0	CONTAINER		3	orphanet-btnt;provenance-only:orphanet	MONDO:0009126;MONDO:0009476	-					0	
ICD10CM:Q41.1	Congenital absence, atresia and stenosis of jejunum	4	0	CONTAINER		2	orphanet-btnt;provenance-only:doid	MONDO:0001045;MONDO:0009476	A	MONDO:0009476	apple peel syndrome	EXACT	Apple peel syndrome	1	
ICD10CM:Q41.2	Congenital absence, atresia and stenosis of ileum	4	0	CONTAINER		1	orphanet-btnt	MONDO:0009476	-					0	
ICD10CM:Q41.8	Congenital absence, atresia and stenosis of other specified parts of small intestine	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0009476	-					0	
ICD10CM:Q41.9	Congenital absence, atresia and stenosis of small intestine, part unspecified	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0009476	-					0	
ICD10CM:Q42	Congenital absence, atresia and stenosis of large intestine	3	6	CONTAINER		0			-					0	
ICD10CM:Q42.0	Congenital absence, atresia and stenosis of rectum with fistula	4	0	CONTAINER		3	orphanet-specific;provenance-only:orphanet	MONDO:0015731;MONDO:0015732	-					0	
ICD10CM:Q42.1	Congenital absence, atresia and stenosis of rectum without fistula	4	0	CONTAINER		3	orphanet-specific;provenance-only:orphanet	MONDO:0015731;MONDO:0015732	-					0	
ICD10CM:Q42.2	Congenital absence, atresia and stenosis of anus with fistula	4	0	CONTAINER		2	orphanet-btnt;orphanet-specific	MONDO:0015733	-					0	
ICD10CM:Q42.3	Congenital absence, atresia and stenosis of anus without fistula	4	0	CONTAINER		1	equivalentTo	MONDO:0001046	A	MONDO:0001046	imperforate anus	name	Imperforate anus	1	
ICD10CM:Q42.8	Congenital absence, atresia and stenosis of other parts of large intestine	4	0	CONTAINER		0			-					0	
ICD10CM:Q42.9	Congenital absence, atresia and stenosis of large intestine, part unspecified	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0010562	-					0	
ICD10CM:Q43	Other congenital malformations of intestine	3	10	RESIDUAL		0			B	MONDO:0005020	disease of intestine	EXACT	Other congenital malformations of intestine	1	
ICD10CM:Q43.0	Meckel's diverticulum (displaced) (hypertrophic)	4	0	DISEASE		1	equivalentTo	MONDO:0007955	A	MONDO:0007955	Meckel's diverticulum	EXACT	Meckel's diverticulum (displaced) (hypertrophic)	1	
ICD10CM:Q43.1	Hirschsprung's disease	4	0	DISEASE		1	equivalentTo	MONDO:0018309	A	MONDO:0018309	Hirschsprung's disease	EXACT	Hirschsprung's disease	1	
ICD10CM:Q43.2	Other congenital functional disorders of colon	4	0	RESIDUAL		0			-					0	
ICD10CM:Q43.3	Congenital malformations of intestinal fixation	4	0	CONTAINER		2	provenance-only:orphanet	MONDO:0016583;MONDO:0018962	A	MONDO:0018962	universal mesentery	EXACT	Universal mesentery	1	
ICD10CM:Q43.4	Duplication of intestine	4	0	DISEASE		2	provenance-only:orphanet	MONDO:0015734;MONDO:0015774	-					0	
ICD10CM:Q43.5	Ectopic anus	4	0	PHENOTYPE		0			-					0	HP:0004397
ICD10CM:Q43.6	Congenital fistula of rectum and anus	4	0	DISEASE		0			-					0	
ICD10CM:Q43.7	Persistent cloaca	4	0	PHENOTYPE		0			-					0	HP:0012621
ICD10CM:Q43.8	Other specified congenital malformations of intestine	4	0	RESIDUAL		3	provenance-only:orphanet	MONDO:0009465;MONDO:0014097;MONDO:0100354	B	MONDO:0001674	diverticulitis of colon	name	Congenital diverticulitis, colon	3	
ICD10CM:Q43.9	Congenital malformation of intestine, unspecified	4	0	RESIDUAL		0			B	MONDO:0005020	disease of intestine	EXACT	Congenital malformation of intestine, unspecified	1	
ICD10CM:Q44	Congenital malformations of gallbladder, bile ducts and liver	3	8	CONTAINER		0			-					0	
ICD10CM:Q44.0	Agenesis, aplasia and hypoplasia of gallbladder	4	0	CONTAINER		1	provenance-only:orphanet	MONDO:0007642	-					0	
ICD10CM:Q44.1	Other congenital malformations of gallbladder	4	0	RESIDUAL		0			B	MONDO:0005281	gallbladder disorder	name	Other congenital malformations of gallbladder	1	
ICD10CM:Q44.2	Atresia of bile ducts	4	0	DISEASE		1	equivalentTo	MONDO:0008867	A	MONDO:0008867	atresia of bile ducts	EXACT	Atresia of bile ducts	1	HP:0005912
ICD10CM:Q44.3	Congenital stenosis and stricture of bile ducts	4	0	DISEASE		0			-					0	
ICD10CM:Q44.4	Choledochal cyst	4	0	DISEASE		1	equivalentTo	MONDO:0018805	A	MONDO:0018805	choledochal cyst	EXACT	Choledochal cyst	1	HP:0100890
ICD10CM:Q44.5	Other congenital malformations of bile ducts	4	0	RESIDUAL		0			B	MONDO:0002887	bile duct disorder	name	Other congenital malformations of bile ducts	1	
ICD10CM:Q44.6	Cystic disease of liver	4	0	DISEASE		1	equivalentTo	MONDO:0000447	-					0	
ICD10CM:Q44.7	Other congenital malformations of liver	4	3	RESIDUAL		4	provenance-only:orphanet	MONDO:0007318;MONDO:0012439;MONDO:0016861;MONDO:0016862	B	MONDO:0005154	liver disorder	name	Other congenital malformations of liver	1	
ICD10CM:Q44.70	Other congenital malformation of liver, unspecified	5	0	RESIDUAL		0			B	MONDO:0005154	liver disorder	name	Other congenital malformation of liver, unspecified	1	
ICD10CM:Q44.71	Alagille syndrome	5	0	DISEASE		0			A	MONDO:0007318	Alagille syndrome	name	Alagille syndrome	1	
ICD10CM:Q44.79	Other congenital malformations of liver	5	0	RESIDUAL		0			B	MONDO:0005154	liver disorder	name	Other congenital malformations of liver	1	
ICD10CM:Q45	Other congenital malformations of digestive system	3	6	RESIDUAL		0			B	MONDO:0004335	digestive system disorder	name	Other congenital malformations of digestive system	1	
ICD10CM:Q45.0	Agenesis, aplasia and hypoplasia of pancreas	4	0	CONTAINER		1	provenance-only:orphanet	MONDO:0009832	-					0	
ICD10CM:Q45.1	Annular pancreas	4	0	DISEASE		1	equivalentTo	MONDO:0008183	A	MONDO:0008183	annular pancreas	name	Annular pancreas	1	HP:0001734
ICD10CM:Q45.2	Congenital pancreatic cyst	4	0	DISEASE		1	equivalentTo	MONDO:0017783	A	MONDO:0017783	congenital pancreatic cyst	name	Congenital pancreatic cyst	1	HP:0001737
ICD10CM:Q45.3	Other congenital malformations of pancreas and pancreatic duct	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0019034	A	MONDO:0019034	accessory pancreas	name	Accessory pancreas	1	
ICD10CM:Q45.8	Other specified congenital malformations of digestive system	4	0	RESIDUAL		2	provenance-only:orphanet	MONDO:0016531;MONDO:0017400	B	MONDO:0004335	digestive system disorder	name	Other specified congenital malformations of digestive system	1	
ICD10CM:Q45.9	Congenital malformation of digestive system, unspecified	4	0	RESIDUAL		0			B	MONDO:0004335	digestive system disorder	name	Congenital malformation of digestive system, unspecified	1	
ICD10CM:Q50	Congenital malformations of ovaries, fallopian tubes and broad ligaments	3	7	CONTAINER		0			-					0	
ICD10CM:Q50-Q56	Congenital malformations of genital organs (Q50-Q56)	2	7	BLOCK		2	provenance-only:other	MONDO:0005039;MONDO:0019356	-					0	
ICD10CM:Q50.0	Congenital absence of ovary	4	2	DISEASE		0			-					0	
ICD10CM:Q50.01	Congenital absence of ovary, unilateral	5	0	LATERALITY		0			-					0	
ICD10CM:Q50.02	Congenital absence of ovary, bilateral	5	0	LATERALITY		0			-					0	
ICD10CM:Q50.1	Developmental ovarian cyst	4	0	DISEASE		0			-					0	
ICD10CM:Q50.2	Congenital torsion of ovary	4	0	DISEASE		0			-					0	
ICD10CM:Q50.3	Other congenital malformations of ovary	4	3	RESIDUAL		0			B	MONDO:0005558	disease of ovary	EXACT	Other congenital malformations of ovary	1	
ICD10CM:Q50.31	Accessory ovary	5	0	DISEASE		0			-					0	
ICD10CM:Q50.32	Ovarian streak	5	0	DISEASE		0			-					0	
ICD10CM:Q50.39	Other congenital malformation of ovary	5	0	RESIDUAL		0			B	MONDO:0005558	disease of ovary	EXACT	Other congenital malformation of ovary	1	
ICD10CM:Q50.4	Embryonic cyst of fallopian tube	4	0	DISEASE		1	equivalentTo	MONDO:0024652	A	MONDO:0024652	embryonic cyst of fallopian tube	name	Embryonic cyst of fallopian tube	1	
ICD10CM:Q50.5	Embryonic cyst of broad ligament	4	0	DISEASE		1	provenance-only:doid	MONDO:0002965	A	MONDO:0002965	parovarian cyst	name	Parovarian cyst	1	
ICD10CM:Q50.6	Other congenital malformations of fallopian tube and broad ligament	4	0	RESIDUAL		0			-					0	
ICD10CM:Q51	Congenital malformations of uterus and cervix	3	10	CONTAINER		0			-					0	
ICD10CM:Q51.0	Agenesis and aplasia of uterus	4	0	DISEASE		1	orphanet-exact	MONDO:0015844	-					0	
ICD10CM:Q51.1	Doubling of uterus with doubling of cervix and vagina	4	2	DISEASE	YES	3	orphanet-exact;provenance-only:orphanet	MONDO:0015834;MONDO:0015835;MONDO:0015836	-					0	
ICD10CM:Q51.10	Doubling of uterus with doubling of cervix and vagina without obstruction	5	0	DISEASE		0			-					0	
ICD10CM:Q51.11	Doubling of uterus with doubling of cervix and vagina with obstruction	5	0	DISEASE		0			-					0	
ICD10CM:Q51.2	Other doubling of uterus	4	3	RESIDUAL		4	provenance-only:orphanet	MONDO:0007698;MONDO:0015839;MONDO:0015840;MONDO:0015841	A	MONDO:0015839	septate uterus	name	Septate uterus	1	
ICD10CM:Q51.21	Complete doubling of uterus	5	0	DISEASE		0			A	MONDO:0015840	complete septate uterus	name	Complete septate uterus	1	
ICD10CM:Q51.22	Partial doubling of uterus	5	0	DISEASE		0			A	MONDO:0015841	partial septate uterus	name	Partial septate uterus	1	
ICD10CM:Q51.28	Other and unspecified doubling of uterus	5	0	RESIDUAL		0			A	MONDO:0015839	septate uterus	name	Septate uterus NOS	1	
ICD10CM:Q51.3	Bicornate uterus	4	0	DISEASE		3	orphanet-exact;provenance-only:orphanet	MONDO:0015838;MONDO:0015842	-					0	
ICD10CM:Q51.4	Unicornate uterus	4	0	DISEASE		3	orphanet-specific;provenance-only:orphanet	MONDO:0015831;MONDO:0015832;MONDO:0015833	-					0	
ICD10CM:Q51.5	Agenesis and aplasia of cervix	4	0	DISEASE		1	orphanet-exact	MONDO:0015845	-					0	
ICD10CM:Q51.6	Embryonic cyst of cervix	4	0	DISEASE		0			-					0	
ICD10CM:Q51.7	Congenital fistulae between uterus and digestive and urinary tracts	4	0	DISEASE		0			-					0	
ICD10CM:Q51.8	Other congenital malformations of uterus and cervix	4	2	RESIDUAL		5	provenance-only:orphanet	MONDO:0008019;MONDO:0010173;MONDO:0015830;MONDO:0015843;MONDO:0017771	-					0	
ICD10CM:Q51.81	Other congenital malformations of uterus	5	3	RESIDUAL		0			B	MONDO:0002654	disease of uterus	EXACT	Other congenital malformations of uterus	1	
ICD10CM:Q51.810	Arcuate uterus	6	0	DISEASE		0			B	MONDO:0015838	uterus arcuatus	EXACT	Arcuatus uterus	1	
ICD10CM:Q51.811	Hypoplasia of uterus	6	0	DISEASE		0			-					0	
ICD10CM:Q51.818	Other congenital malformations of uterus	6	0	RESIDUAL		0			B	MONDO:0002654	disease of uterus	EXACT	Other congenital malformations of uterus	1	
ICD10CM:Q51.82	Other congenital malformations of cervix	5	3	RESIDUAL		0			B	MONDO:0002256	cervix disorder	name	Other congenital malformations of cervix	1	
ICD10CM:Q51.820	Cervical duplication	6	0	PHENOTYPE		0			-					0	HP:6000414
ICD10CM:Q51.821	Hypoplasia of cervix	6	0	DISEASE		0			-					0	
ICD10CM:Q51.828	Other congenital malformations of cervix	6	0	RESIDUAL		0			B	MONDO:0002256	cervix disorder	name	Other congenital malformations of cervix	1	
ICD10CM:Q51.9	Congenital malformation of uterus and cervix, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q52	Other congenital malformations of female genitalia	3	10	RESIDUAL		0			-					0	
ICD10CM:Q52.0	Congenital absence of vagina	4	0	DISEASE		1	equivalentTo	MONDO:0019932	A	MONDO:0019932	congenital absence of vagina	EXACT	Congenital absence of vagina	1	
ICD10CM:Q52.1	Doubling of vagina	4	3	DISEASE		3	provenance-only:orphanet	MONDO:0015849;MONDO:0015850	-					0	
ICD10CM:Q52.10	Doubling of vagina, unspecified	5	0	RESIDUAL		0			-					0	
ICD10CM:Q52.11	Transverse vaginal septum	5	0	DISEASE		1	equivalentTo	MONDO:0015850	A	MONDO:0015850	transverse vaginal septum	name	Transverse vaginal septum	1	HP:0000145
ICD10CM:Q52.12	Longitudinal vaginal septum	5	6	DISEASE		1	equivalentTo	MONDO:0015849	A	MONDO:0015849	longitudinal vaginal septum	name	Longitudinal vaginal septum	1	HP:0008740
ICD10CM:Q52.120	Longitudinal vaginal septum, nonobstructing	6	0	DISEASE		0			-					0	
ICD10CM:Q52.121	Longitudinal vaginal septum, obstructing, right side	6	0	LATERALITY		0			-					0	
ICD10CM:Q52.122	Longitudinal vaginal septum, obstructing, left side	6	0	LATERALITY		0			-					0	
ICD10CM:Q52.123	Longitudinal vaginal septum, microperforate, right side	6	0	LATERALITY		0			-					0	
ICD10CM:Q52.124	Longitudinal vaginal septum, microperforate, left side	6	0	LATERALITY		0			-					0	
ICD10CM:Q52.129	Other and unspecified longitudinal vaginal septum	6	0	RESIDUAL		0			B	MONDO:0015849	longitudinal vaginal septum	name	Other and unspecified longitudinal vaginal septum	1	
ICD10CM:Q52.2	Congenital rectovaginal fistula	4	0	PHENOTYPE		0			-					0	HP:0000143
ICD10CM:Q52.3	Imperforate hymen	4	0	PHENOTYPE		1	equivalentTo	MONDO:0009375	B	MONDO:0009375	hymen, imperforate	name	Imperforate hymen	1	HP:0030011
ICD10CM:Q52.4	Other congenital malformations of vagina	4	0	RESIDUAL		0			B	MONDO:0001433	disease of vagina	EXACT	Other congenital malformations of vagina	1	
ICD10CM:Q52.5	Fusion of labia	4	0	DISEASE		0			-					0	
ICD10CM:Q52.6	Congenital malformation of clitoris	4	0	CONTAINER		0			-					0	
ICD10CM:Q52.7	Other and unspecified congenital malformations of vulva	4	3	RESIDUAL		0			B	MONDO:0002187	disorder of vulva	EXACT	Other and unspecified congenital malformations of vulva	1	
ICD10CM:Q52.70	Unspecified congenital malformations of vulva	5	0	RESIDUAL		0			B	MONDO:0002187	disorder of vulva	EXACT	Unspecified congenital malformations of vulva	1	
ICD10CM:Q52.71	Congenital absence of vulva	5	0	DISEASE		0			-					0	
ICD10CM:Q52.79	Other congenital malformations of vulva	5	0	RESIDUAL		0			B	MONDO:0002187	disorder of vulva	EXACT	Other congenital malformations of vulva	1	
ICD10CM:Q52.8	Other specified congenital malformations of female genitalia	4	0	RESIDUAL		0			-					0	
ICD10CM:Q52.9	Congenital malformation of female genitalia, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q53	Undescended and ectopic testicle	3	4	DISEASE	YES	0			-					0	
ICD10CM:Q53.0	Ectopic testis	4	3	PHENOTYPE		0			-					0	HP:6000460
ICD10CM:Q53.00	Ectopic testis, unspecified	5	0	RESIDUAL		0			-					0	HP:6000460
ICD10CM:Q53.01	Ectopic testis, unilateral	5	0	LATERALITY		0			-					0	
ICD10CM:Q53.02	Ectopic testes, bilateral	5	0	DISEASE		0			-					0	
ICD10CM:Q53.1	Undescended testicle, unilateral	4	4	LATERALITY		0			-					0	
ICD10CM:Q53.10	Unspecified undescended testicle, unilateral	5	0	RESIDUAL		0			-					0	
ICD10CM:Q53.11	Abdominal testis, unilateral	5	2	DISEASE		0			-					0	
ICD10CM:Q53.111	Unilateral intraabdominal testis	6	0	DISEASE		0			-					0	
ICD10CM:Q53.112	Unilateral inguinal testis	6	0	DISEASE		0			-					0	
ICD10CM:Q53.12	Ectopic perineal testis, unilateral	5	0	DISEASE		0			-					0	
ICD10CM:Q53.13	Unilateral high scrotal testis	5	0	DISEASE		0			-					0	
ICD10CM:Q53.2	Undescended testicle, bilateral	4	4	LATERALITY		0			-					0	
ICD10CM:Q53.20	Undescended testicle, unspecified, bilateral	5	0	RESIDUAL		0			-					0	
ICD10CM:Q53.21	Abdominal testis, bilateral	5	2	DISEASE		0			-					0	
ICD10CM:Q53.211	Bilateral intraabdominal testes	6	0	DISEASE		0			-					0	
ICD10CM:Q53.212	Bilateral inguinal testes	6	0	DISEASE		0			-					0	
ICD10CM:Q53.22	Ectopic perineal testis, bilateral	5	0	DISEASE		0			-					0	
ICD10CM:Q53.23	Bilateral high scrotal testes	5	0	DISEASE		0			-					0	
ICD10CM:Q53.9	Undescended testicle, unspecified	4	0	RESIDUAL		1	provenance-only:doid	MONDO:0009047	A	MONDO:0009047	undescended testicle	EXACT	Undescended testicle, unspecified	1	
ICD10CM:Q54	Hypospadias	3	7	DISEASE		1	equivalentTo	MONDO:0005345	A	MONDO:0005345	hypospadias	name	Hypospadias	1	HP:0000047
ICD10CM:Q54.0	Hypospadias, balanic	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0005345	-					0	
ICD10CM:Q54.1	Hypospadias, penile	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0005345	-					0	
ICD10CM:Q54.2	Hypospadias, penoscrotal	4	0	DISEASE		2	orphanet-btnt;provenance-only:orphanet	MONDO:0005345;MONDO:0019848	-					0	
ICD10CM:Q54.3	Hypospadias, perineal	4	0	DISEASE		2	orphanet-btnt;provenance-only:orphanet	MONDO:0005345;MONDO:0019848	-					0	
ICD10CM:Q54.4	Congenital chordee	4	0	PHENOTYPE		1	provenance-only:orphanet	MONDO:0005345	-					0	HP:0000041
ICD10CM:Q54.8	Other hypospadias	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0005345	B	MONDO:0005345	hypospadias	name	Other hypospadias	1	
ICD10CM:Q54.9	Hypospadias, unspecified	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0005345	A	MONDO:0005345	hypospadias	name	Hypospadias, unspecified	1	HP:0000047
ICD10CM:Q55	Other congenital malformations of male genital organs	3	10	RESIDUAL		0			-					0	
ICD10CM:Q55.0	Absence and aplasia of testis	4	0	DISEASE		2	orphanet-specific;provenance-only:orphanet	MONDO:0017967;MONDO:8000015	-					0	
ICD10CM:Q55.1	Hypoplasia of testis and scrotum	4	0	DISEASE		0			-					0	
ICD10CM:Q55.2	Other and unspecified congenital malformations of testis and scrotum	4	5	RESIDUAL		0			-					0	
ICD10CM:Q55.20	Unspecified congenital malformations of testis and scrotum	5	0	RESIDUAL		0			-					0	
ICD10CM:Q55.21	Polyorchism	5	0	DISEASE		0			-					0	
ICD10CM:Q55.22	Retractile testis	5	0	PHENOTYPE		0			-					0	HP:0012646
ICD10CM:Q55.23	Scrotal transposition	5	0	DISEASE		0			-					0	
ICD10CM:Q55.29	Other congenital malformations of testis and scrotum	5	0	RESIDUAL		0			-					0	
ICD10CM:Q55.3	Atresia of vas deferens	4	0	DISEASE		0			-					0	
ICD10CM:Q55.4	Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0018801	-					0	
ICD10CM:Q55.5	Congenital absence and aplasia of penis	4	0	DISEASE		1	orphanet-exact	MONDO:0018846	-					0	
ICD10CM:Q55.6	Other congenital malformations of penis	4	5	RESIDUAL		2	provenance-only:orphanet	MONDO:0016416;MONDO:0019849	B	MONDO:0002036	disease of penis	EXACT	Other congenital malformations of penis	1	
ICD10CM:Q55.61	Curvature of penis (lateral)	5	0	DISEASE		0			-					0	
ICD10CM:Q55.62	Hypoplasia of penis	5	0	PHENOTYPE		0			-					0	HP:0008736
ICD10CM:Q55.63	Congenital torsion of penis	5	0	DISEASE		0			-					0	
ICD10CM:Q55.64	Hidden penis	5	0	DISEASE		0			-					0	
ICD10CM:Q55.69	Other congenital malformation of penis	5	0	RESIDUAL		0			B	MONDO:0002036	disease of penis	EXACT	Other congenital malformation of penis	1	
ICD10CM:Q55.7	Congenital vasocutaneous fistula	4	0	DISEASE		0			-					0	
ICD10CM:Q55.8	Other specified congenital malformations of male genital organs	4	0	RESIDUAL		2	provenance-only:orphanet	MONDO:0009857;MONDO:0017285	-					0	
ICD10CM:Q55.9	Congenital malformation of male genital organ, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q56	Indeterminate sex and pseudohermaphroditism	3	5	DISEASE	YES	1	equivalentTo	MONDO:0024665	B	MONDO:0024665	indeterminate sex and/or pseudohermaphroditism	name	Indeterminate sex and pseudohermaphroditism	1	
ICD10CM:Q56.0	Hermaphroditism, not elsewhere classified	4	0	CONTAINER		2	provenance-only:orphanet	MONDO:0012530;MONDO:0016281	A	MONDO:0002768	ovotestis	EXACT	Ovotestis	1	
ICD10CM:Q56.1	Male pseudohermaphroditism, not elsewhere classified	4	0	CONTAINER		8	provenance-only:orphanet	MONDO:0009223;MONDO:0009923;MONDO:0011766;MONDO:0013400;MONDO:0016674	-					0	HP:0000037
ICD10CM:Q56.2	Female pseudohermaphroditism, not elsewhere classified	4	0	CONTAINER		6	provenance-only:orphanet	MONDO:0009915;MONDO:0017573;MONDO:0017576	A	MONDO:0017576	female pseudohermaphroditism	EXACT	Female pseudohermaphroditism, not elsewhere classified	1	HP:0010458
ICD10CM:Q56.3	Pseudohermaphroditism, unspecified	4	0	RESIDUAL		2	other-mondo-qualifier:equivalentToOther;provenance-only:orphanet	MONDO:0005518;MONDO:0010824	A	MONDO:0005518	pseudohermaphroditism	name	Pseudohermaphroditism, unspecified	1	
ICD10CM:Q56.4	Indeterminate sex, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q60	Renal agenesis and other reduction defects of kidney	3	7	RESIDUAL		0			-					0	
ICD10CM:Q60-Q64	Congenital malformations of the urinary system (Q60-Q64)	2	5	BLOCK		1	equivalentTo	MONDO:0019356	B	MONDO:0002118	urinary system disorder	name	Congenital malformations of the urinary system (Q60-Q64)	1	
ICD10CM:Q60.0	Renal agenesis, unilateral	4	0	LATERALITY		1	equivalentTo	MONDO:0019636	A	MONDO:0019636	renal agenesis, unilateral	name	Renal agenesis, unilateral	1	
ICD10CM:Q60.1	Renal agenesis, bilateral	4	0	LATERALITY		1	equivalentTo	MONDO:0015986	A	MONDO:0015986	Renal Agenesis, Bilateral	EXACT	Renal agenesis, bilateral	1	
ICD10CM:Q60.2	Renal agenesis, unspecified	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0018470	A	MONDO:0018470	renal agenesis	name	Renal agenesis, unspecified	1	HP:0000104
ICD10CM:Q60.3	Renal hypoplasia, unilateral	4	0	LATERALITY		1	equivalentTo	MONDO:0019979	A	MONDO:0019979	renal hypoplasia, unilateral	name	Renal hypoplasia, unilateral	1	
ICD10CM:Q60.4	Renal hypoplasia, bilateral	4	0	LATERALITY		1	equivalentTo	MONDO:0019980	A	MONDO:0019980	renal hypoplasia, bilateral	name	Renal hypoplasia, bilateral	1	
ICD10CM:Q60.5	Renal hypoplasia, unspecified	4	0	RESIDUAL		1	orphanet-specific	MONDO:0019637	A	MONDO:0019637	renal hypoplasia	name	Renal hypoplasia, unspecified	1	HP:0000089
ICD10CM:Q60.6	Potter's syndrome	4	0	DISEASE		1	equivalentTo	MONDO:0001558	A	MONDO:0001558	Potter's syndrome	EXACT	Potter's syndrome	1	
ICD10CM:Q61	Cystic kidney disease	3	8	DISEASE		1	equivalentTo	MONDO:0002473	A	MONDO:0002473	cystic kidney disease	name	Cystic kidney disease	1	
ICD10CM:Q61.0	Congenital renal cyst	4	3	PHENOTYPE		0			-					0	HP:0000107
ICD10CM:Q61.00	Congenital renal cyst, unspecified	5	0	RESIDUAL		0			B	MONDO:0002473	kidney cyst	EXACT	Cyst of kidney NOS (congenital)	1	HP:0000107
ICD10CM:Q61.01	Congenital single renal cyst	5	0	DISEASE		0			-					0	
ICD10CM:Q61.02	Congenital multiple renal cysts	5	0	PHENOTYPE		0			-					0	HP:0005562
ICD10CM:Q61.1	Polycystic kidney, infantile type	4	2	DISEASE		1	orphanet-specific	MONDO:0009889	B	MONDO:0009889	autosomal recessive polycystic kidney disease	name	Polycystic kidney, autosomal recessive	1	
ICD10CM:Q61.11	Cystic dilatation of collecting ducts	5	0	DISEASE		0			-					0	
ICD10CM:Q61.19	Other polycystic kidney, infantile type	5	0	RESIDUAL		0			B	MONDO:0009889	polycystic kidney disease, infantile type	EXACT	Other polycystic kidney, infantile type	1	
ICD10CM:Q61.2	Polycystic kidney, adult type	4	0	DISEASE		0			B	MONDO:0004691	autosomal dominant polycystic kidney disease	name	Polycystic kidney, autosomal dominant	1	
ICD10CM:Q61.3	Polycystic kidney, unspecified	4	0	RESIDUAL		1	provenance-only:doid	MONDO:0004691	B	MONDO:0020642	polycystic kidney disease	name	Polycystic kidney, unspecified	1	HP:0000113
ICD10CM:Q61.4	Renal dysplasia	4	0	DISEASE		1	equivalentTo	MONDO:0019638	A	MONDO:0019638	renal dysplasia	name	Renal dysplasia	1	HP:0000110
ICD10CM:Q61.5	Medullary cystic kidney	4	0	DISEASE		10	orphanet-specific;provenance-only:orphanet	MONDO:0008073;MONDO:0008264;MONDO:0009728;MONDO:0012308;MONDO:0014158	A	MONDO:0019005	medullary cystic kidney	EXACT	Medullary cystic kidney	1	
ICD10CM:Q61.8	Other cystic kidney diseases	4	0	RESIDUAL		0			B	MONDO:0002473	cystic kidney disease	name	Other cystic kidney diseases	1	
ICD10CM:Q61.9	Cystic kidney disease, unspecified	4	0	RESIDUAL		9	provenance-only:doid;provenance-only:orphanet	MONDO:0009571;MONDO:0009966;MONDO:0011296;MONDO:0011821;MONDO:0012626	A	MONDO:0002473	cystic kidney disease	name	Cystic kidney disease, unspecified	1	
ICD10CM:Q62	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	3	9	DISEASE	YES	0			-					0	
ICD10CM:Q62.0	Congenital hydronephrosis	4	0	DISEASE		1	equivalentTo	MONDO:0007741	A	MONDO:0005510	hydronephrosis	name	Congenital hydronephrosis	2	HP:0000126
ICD10CM:Q62.1	Congenital occlusion of ureter	4	3	DISEASE		0			-					0	
ICD10CM:Q62.10	Congenital occlusion of ureter, unspecified	5	0	RESIDUAL		0			-					0	
ICD10CM:Q62.11	Congenital occlusion of ureteropelvic junction	5	0	DISEASE		0			-					0	
ICD10CM:Q62.12	Congenital occlusion of ureterovesical orifice	5	0	DISEASE		0			-					0	
ICD10CM:Q62.2	Congenital megaureter	4	0	PHENOTYPE		6	narrowerThanSource;orphanet-specific;provenance-only:orphanet	MONDO:0016549;MONDO:0016550;MONDO:0016551;MONDO:0016552;MONDO:0018960	-					0	HP:0000072;HP:0008676
ICD10CM:Q62.3	Other obstructive defects of renal pelvis and ureter	4	3	RESIDUAL		0			-					0	
ICD10CM:Q62.31	Congenital ureterocele, orthotopic	5	0	DISEASE		0			-					0	
ICD10CM:Q62.32	Cecoureterocele	5	0	DISEASE		0			-					0	
ICD10CM:Q62.39	Other obstructive defects of renal pelvis and ureter	5	0	RESIDUAL		0			-					0	
ICD10CM:Q62.4	Agenesis of ureter	4	0	DISEASE		0			-					0	
ICD10CM:Q62.5	Duplication of ureter	4	0	DISEASE		0			-					0	
ICD10CM:Q62.6	Malposition of ureter	4	5	DISEASE		0			-					0	
ICD10CM:Q62.60	Malposition of ureter, unspecified	5	0	RESIDUAL		0			-					0	
ICD10CM:Q62.61	Deviation of ureter	5	0	DISEASE		0			-					0	
ICD10CM:Q62.62	Displacement of ureter	5	0	DISEASE		0			-					0	
